S_No,Bill_Code,Customers,Tax,Discount,Subtotal,Total_Item,Total_Bill,Payment_Type,Cash_Paid,Cash_Change,Credit_Card_Holder,Credit_Card_Number,Cheque_Number,Created_At
1,00001,"Walk In Customer",0.0%,0.0%,"10,900.00",1.00,10900,Cash,10900,,,,,"2020-12-11 10:27:57"
2,00002,"Walk In Customer",0.0%,0.0%,"11,500.00",4.00,11500,Cash,11500,,,,,"2020-12-24 10:49:49"
3,00003,"Walk In Customer",0.0%,0.0%,"11,500.00",4.00,11500,"Credit Card",11500,,31,3123-2131-2312-3123,,"2020-12-24 10:50:01"
4,00004,"Walk In Customer",0.0%,0.0%,"1,060.00",3.00,1060,Cash,1060,,,,,"2020-12-24 11:00:38"
5,00007,"Walk In Customer",0.0%,0.0%,100.00,1.00,100,Cash,2992423423,2992423323,,,,"2020-12-24 11:04:59"
6,00005,1,0.0%,0.0%,"12,100.00",3.00,12100,Cash,12100,,,,,"2020-12-24 11:42:04"
7,00006,"Walk In Customer",0.0%,0.0%,"12,400.00",6.00,12400,Cash,12400,,,,,"2020-12-24 11:52:16"
8,00009,"Walk In Customer",0.0%,0.0%,"11,100.00",3.00,11100,Cash,11100,,,,,"2020-12-24 11:56:41"
9,00009,"Walk In Customer",0.0%,0.0%,200.00,2.00,200,Cash,200,,,,,"2020-12-24 11:56:45"
10,00009,"Walk In Customer",0.0%,0.0%,830.00,5.00,830,Cash,830,,,,,"2020-12-24 11:56:53"
11,00009,"Walk In Customer",0.0%,0.0%,"1,720.00",2.00,1720,Cash,1720,,,,,"2020-12-24 11:57:02"
12,00009,"Walk In Customer",0.0%,0.0%,"10,900.00",1.00,10900,Cash,10900,,,,,"2020-12-24 11:58:15"
13,00009,"Walk In Customer",0.0%,0.0%,"10,900.00",1.00,10900,Cash,10900,,,,,"2020-12-24 11:58:19"
14,00009,"Walk In Customer",0.0%,0.0%,"10,900.00",1.00,10900,Cash,10900,,,,,"2020-12-24 11:58:23"
15,00009,"Walk In Customer",0.0%,0.0%,"10,900.00",1.00,10900,Cash,10900,,,,,"2020-12-24 11:58:27"
16,00009,"Walk In Customer",0.0%,0.0%,"10,900.00",1.00,10900,Cash,10900,,,,,"2020-12-24 11:58:31"
17,00011,"Walk In Customer",0.0%,0.0%,"25,000.00",3.00,25000,Cash,25000,,,,,"2020-12-24 12:04:47"
18,00009,1,0.0%,42.0%,"1,000.00",1.00,580,"Credit Card",580,,111111111,1111-1111-1111-1111,,"2020-12-24 12:33:10"
