S_No,Bill_Code,Customers,Tax,Discount,Subtotal,Total_Item,Total_Bill,Payment_Type,Cash_Paid,Cash_Change,Credit_Card_Holder,Credit_Card_Number,Cheque_Number,Created_At
1,00001,"Walk In Customer",40.0%,15.0%,"16,800.00",4.00,21000,Cash,22000,1000,,,,"2020-11-20 10:55:50"
2,00002,"Walk In Customer",17.0%,10.0%,"13,000.00",4.00,13910,Cash,13910,,,,,"2020-11-24 11:04:03"
3,00003,"Walk In Customer",17.0%,10.0%,"13,450.00",4.00,14391.5,Cash,14391.5,,,,,"2020-11-24 11:04:43"
4,00004,"Walk In Customer",17.0%,10.0%,"1,750.00",3.00,1872.5,Cash,1872.5,,,,,"2020-11-24 11:05:37"
5,00005,"Walk In Customer",17.0%,10.0%,"13,650.00",3.00,14605.5,Cash,14605.5,,,,,"2020-11-24 11:06:14"
6,00006,"Walk In Customer",17.0%,10.0%,"12,450.00",2.00,13321.5,Cash,13321.5,,,,,"2020-11-24 11:08:17"
7,00007,"Walk In Customer",17.0%,10.0%,"12,450.00",2.00,13321.5,Cash,13321.5,,,,,"2020-11-24 11:14:42"
8,00008,"Walk In Customer",17.0%,10.0%,"12,000.00",1.00,12840,Cash,12840,,,,,"2020-11-24 11:15:10"
9,00009,"Walk In Customer",17.0%,10.0%,"12,000.00",1.00,12840,Cash,12840,,,,,"2020-11-24 11:15:48"
10,00010,"Walk In Customer",17.0%,10.0%,"12,000.00",1.00,12840,Cash,12840,,,,,"2020-11-24 11:16:08"
11,00011,"Walk In Customer",17.0%,10.0%,"12,450.00",2.00,13321.5,Cash,13321.5,,,,,"2020-11-24 11:17:18"
12,00012,"Walk In Customer",17.0%,10.0%,"1,200.00",1.00,1284,Cash,1284,,,,,"2020-11-24 11:32:34"
13,00013,"Walk In Customer",17.0%,10.0%,"12,000.00",1.00,12840,Cash,12840,,,,,"2020-11-24 11:34:08"
14,00014,"Walk In Customer",17.0%,10.0%,"13,000.00",4.00,13910,Cash,13910,,,,,"2020-11-24 11:35:15"
15,00015,"Walk In Customer",17.0%,10.0%,"14,250.00",5.00,15247.5,Cheque,15247.5,,,,53453543543543543,"2020-11-24 11:39:29"
16,00016,"Walk In Customer",17.0%,10.0%,"13,650.00",3.00,14605.5,Cash,14605.5,,,,,"2020-11-24 12:43:12"
17,00017,"Walk In Customer",17.0%,10.0%,450.00,1.00,481.5,Cash,481.5,,,,,"2020-11-24 12:52:47"
18,00018,"Walk In Customer",17.0%,10.0%,"12,000.00",1.00,12840,Cash,12840,,,,,"2020-11-24 12:53:29"
19,00019,"Walk In Customer",17.0%,10.0%,"13,750.00",4.00,14712.5,Cash,14712.5,,,,,"2020-11-24 12:57:41"
20,00020,"Walk In Customer",17.0%,10.0%,"14,650.00",5.00,15675.5,Cash,15675.5,,,,,"2020-11-24 13:30:38"
21,00021,"Walk In Customer",17.0%,10.0%,"13,150.00",4.00,14070.5,Cash,14070.5,,,,,"2020-11-24 14:28:14"
22,00022,"Walk In Customer",17.0%,10.0%,"12,450.00",2.00,13321.5,Cash,13321.5,,,,,"2020-11-24 14:30:03"
23,00023,"Walk In Customer",17.0%,10.0%,"12,250.00",2.00,13107.5,Cash,13107.5,,,,,"2020-11-24 14:30:51"
24,00024,"Walk In Customer",17.0%,10.0%,"12,000.00",1.00,12840,Cash,12840,,,,,"2020-11-24 14:32:11"
25,00025,"Walk In Customer",17.0%,10.0%,"12,700.00",3.00,13589,Cash,13589,,,,,"2020-11-24 14:32:48"
26,00026,"Walk In Customer",17.0%,10.0%,"13,150.00",4.00,14070.5,Cash,14070.5,,,,,"2020-11-24 14:37:18"
27,00027,"Walk In Customer",17.0%,10.0%,"36,000.00",1.00,38520,Cash,38520,,,,,"2020-11-24 14:38:08"
28,00028,"Walk In Customer",17.0%,10.0%,"14,150.00",4.00,15140.5,Cash,15140.5,,,,,"2020-11-24 14:40:35"
29,00029,"Walk In Customer",17.0%,10.0%,"14,450.00",6.00,15461.5,Cash,15461.5,,,,,"2020-11-24 14:40:53"
30,00030,"Walk In Customer",17.0%,10.0%,"12,700.00",3.00,13589,Cash,13589,,,,,"2020-11-24 14:41:13"
31,00031,"Walk In Customer",17.0%,10.0%,"13,150.00",4.00,14070.5,Cash,14070.5,,,,,"2020-11-24 14:41:55"
32,00032,"Walk In Customer",17.0%,10.0%,"12,250.00",2.00,13107.5,Cash,13107.5,,,,,"2020-11-24 14:43:06"
33,00033,"Walk In Customer",17.0%,10.0%,"12,250.00",2.00,13107.5,Cash,13107.5,,,,,"2020-11-24 14:43:24"
